item,itemLabel,insee,pop,area,popDate
http://www.wikidata.org/entity/Q1003661,Beaudricourt,62091,88,4.58,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003661,Beaudricourt,62091,87,4.58,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003661,Beaudricourt,62091,90,4.58,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,368,12.19,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003772,Estigarde,40096,93,29.65,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1003661,Beaudricourt,62091,94,4.58,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003661,Beaudricourt,62091,98,4.58,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,375,12.19,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,373,12.19,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,376,12.19,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,384,12.19,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,365,12.19,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,360,12.19,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,355,12.19,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,353,12.19,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,350,12.19,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,347,12.19,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,325,9.66,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,71,36.27,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,298,9.66,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,69,36.27,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,67,36.27,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,68,36.27,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,64,36.27,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,284,9.66,1982-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,65,36.27,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,66,36.27,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003876,Bonnefamille,38048,321,9.43,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,67,36.27,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,68,36.27,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003741,Urdos,64542,70,36.27,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003876,Bonnefamille,38048,409,9.43,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,950,21.66,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,377,9.66,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,916,21.66,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,909,21.66,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,920,21.66,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,871,21.66,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003876,Bonnefamille,38048,585,9.43,1982-03-04T00:00:00Z
